אל;31
קין;160
למה;75
חרה;213
לך;50
ולמה;81
נפלו;166
פניך;160
הלוא;42
אם;41
תיטיב;431
שאת;701
ואם;47
לא;31
תיטיב;431
לפתח;518
חטאת;418
רבץ;292
ואליך;67
תשוקתו;1212
ואתה;412
תמשל;770
בו;8
ויאמר;257
קין;160
אל;31
הבל;37
אחיו;25
ויהי;31
בהיותם;463
בשדה;311
ויקם;156
קין;160
אל;31
הבל;37
אחיו;25
ויהרגהו;235
ויאמר;257
יהוה;26
אל;31
קין;160
אי;11
הבל;37
אחיך;39
ויאמר;257
לא;31
ידעתי;494
השמר;545
אחי;19
אנכי;81
ויאמר;257
מה;45
עשית;780
קול;136
דמי;54
אחיך;39
צעקים;310
אלי;41
מן;90
האדמה;55
ועתה;481
ארור;407
אתה;406
מן;90
האדמה;55
אשר;501
פצתה;575
את;401
פיה;95
לקחת;538
את;401
דמי;54
אחיך;39
מידך;74
כי;30
תעבד;476
את;401
האדמה;55
לא;31
תסף;540
תת;800
כחה;33
לך;50
נע;120
ונד;60
תהיה;420
בארץ;293
ויאמר;257
קין;160
אל;31
יהוה;26
גדול;43
עוני;136
מנשא;391
הן;55
גרשת;903
אתי;411
היום;61
מעל;140
פני;140
האדמה;55
ומפניך;206
אסתר;661
והייתי;441
נע;120
ונד;60
בארץ;293
והיה;26
כל;50
מצאי;141
יהרגני;278
ויאמר;257
לו;36
יהוה;26
לכן;100
כל;50
הרג;208
קין;160
שבעתים;822
יקם;150
וישם;356
יהוה;26
לקין;190
אות;407
לבלתי;472
הכות;431
אתו;407
כל;50
מצאו;137
ויצא;107
קין;160
מלפני;210
יהוה;26
וישב;318
בארץ;293
נוד;60
קדמת;544
עדן;124
וידע;90
קין;160
את;401
אשתו;707
ותהר;611
ותלד;440
את;401
חנוך;84
ויהי;31
בנה;57
עיר;280
ויקרא;317
שם;340
העיר;285
כשם;360
בנו;58
חנוך;84
ויולד;56
לחנוך;114
את;401
עירד;284
ועירד;290
ילד;44
את;401
מחויאל;95
ומחייאל;105
ילד;44
את;401
מתושאל;777
ומתושאל;783
ילד;44
את;401
למך;90
ויקח;124
לו;36
למך;90
שתי;710
נשים;400
שם;340
האחת;414
עדה;79
ושם;346
השנית;765
צלה;125
ותלד;440
עדה;79
את;401
יבל;42
הוא;12
היה;20
אבי;13
ישב;312
אהל;36
